	source	target	weight	p_value
43	Androgen	SGK1	12.816842	2.0550632e-18
44	Androgen	STK39	6.9341245	2.0842888e-18
45	Androgen	PMEPA1	10.998912	2.1276132e-18
46	Androgen	MALT1	6.669782	2.3631977e-18
47	Androgen	CDK8	-4.2908683	2.5141321e-18
48	Androgen	CROT	4.358307	2.7247762e-18
49	Androgen	PGC	4.7496333	4.111454e-18
50	Androgen	STEAP4	9.19434	6.5170392e-18
51	Androgen	NSMAF	3.2845445	6.959565e-18
52	Androgen	GPR63	-3.2275932	1.3055475e-17
53	Androgen	TLL1	-2.463918	1.5940659e-17
54	Androgen	MAF	5.8638716	1.8056603e-17
55	Androgen	DHCR24	6.8430085	2.6801969e-17
56	Androgen	FRK	4.7002487	2.993022e-17
57	Androgen	CENPN	8.491016	3.502872e-17
58	Androgen	SORD	5.777566	3.587296e-17
59	Androgen	IQGAP2	5.1244836	5.286369e-17
60	Androgen	MPHOSPH9	5.106199	5.472691e-17
61	Androgen	HOXC13	-3.634256	8.3011055e-17
62	Androgen	CHRNA2	3.3317015	8.7228975e-17
63	Androgen	CTBP1	-2.8921719	9.908482e-17
64	Androgen	KLF15	2.832534	1.1234677e-16
65	Androgen	ACSL3	8.258214	1.1906092e-16
66	Androgen	TPD52	4.5457115	3.18136e-16
67	Androgen	SPDEF	3.7509513	3.4528427e-16
68	Androgen	FZD5	4.6866198	3.9533484e-16
69	Androgen	GRIK1	-1.6465135	6.5751377e-16
70	Androgen	CSGALNACT1	6.8460345	6.872221e-16
71	Androgen	DNASE2B	3.0113287	6.8904415e-16
72	Androgen	PHF8	1.8696449	1.2008573e-15
73	Androgen	ARHGEF26	5.31108	1.5748758e-15
74	Androgen	UAP1	7.6223593	1.8448894e-15
75	Androgen	ECI2	4.268102	2.0814583e-15
76	Androgen	ADPRM	4.1334887	2.4499952e-15
77	Androgen	GRHL2	4.295725	3.2368742e-15
78	Androgen	ENDOD1	6.5161524	3.3774988e-15
79	Androgen	NCAPD3	8.440902	7.147745e-15
80	Androgen	AZGP1	5.8183503	8.182884e-15
81	Androgen	ACP3	-3.014728	9.002913e-15
82	Androgen	TSPAN3	-3.0469482	1.1254765e-14
83	Androgen	IGF1	2.6801176	1.2751416e-14
84	Androgen	PDE9A	2.9002094	1.5912171e-14
85	Androgen	SYTL2	-5.3895364	1.7075361e-14
86	Androgen	PPP2CB	2.352618	2.7706334e-14
87	Androgen	MYNN	-2.9188044	2.8020414e-14
88	Androgen	RAB3B	4.3931	3.3149864e-14
89	Androgen	SEC14L2	4.3885274	3.44313e-14
90	Androgen	PSMD8	3.6573284	3.631305e-14
91	Androgen	UBE2J1	3.760021	3.795808e-14
92	Androgen	FUT8	-4.4059534	7.248718e-14
93	Androgen	PAK1IP1	7.6919317	9.4615965e-14
94	Androgen	MANEA	-4.0041466	1.1670115e-13
95	Androgen	GCG	-2.171336	1.2516297e-13
96	Androgen	SELENOP	6.3367805	1.2801464e-13
97	Androgen	TRPM8	3.8354187	1.4750217e-13
98	Androgen	SCAP	2.929211	1.5947097e-13
99	Androgen	MCCC2	2.8080049	2.008381e-13
100	Androgen	NNMT	6.090327	2.1658196e-13
101	Androgen	GREB1	5.5649567	2.4603277e-13
102	Androgen	ABHD2	5.2295184	2.7121122e-13
103	Androgen	PNLIP	2.4413633	3.39165e-13
104	Androgen	MAPK6	3.246535	3.751989e-13
105	Androgen	TNFAIP8	6.830594	4.6382716e-13
106	Androgen	TMEM38B	-4.1328363	6.1110817e-13
107	Androgen	KALRN	-1.1891885	6.4616194e-13
108	Androgen	MPZL1	2.503404	7.3986775e-13
109	Androgen	ZBTB10	4.66306	1.0825429e-12
110	Androgen	COLEC12	-3.875356	1.1393267e-12
111	Androgen	DENND1B	-3.51973	1.3468853e-12
112	Androgen	TRIM45	-2.4815292	1.4771178e-12
113	Androgen	RAB27A	4.1886587	1.6075943e-12
114	Androgen	GRB10	-4.8907585	1.6273016e-12
115	Androgen	AKAP5	2.3686802	1.7517208e-12
116	Androgen	SNRK	-2.2858937	2.5925308e-12
117	Androgen	KLK15	1.2827646	2.680513e-12
118	Androgen	SAYSD1	-1.6102953	2.9157178e-12
119	Androgen	TRIM36	3.3379312	3.1026e-12
120	Androgen	ORC5	3.2846985	3.6124194e-12
121	Androgen	PLA2G5	1.6027378	3.7274524e-12
122	Androgen	CHKA	3.7443159	3.7302735e-12
123	Androgen	ABCC1	3.4497247	6.5604328e-12
124	Androgen	PPP1CB	3.3583555	7.7994364e-12
125	Androgen	BARD1	-4.809691	8.868711e-12
126	Androgen	HEBP2	2.8169453	9.404728e-12
127	Androgen	OLA1	2.337639	1.0033243e-11
128	Androgen	TENM1	2.3795295	1.1422282e-11
129	Androgen	GALNT10	-2.9719958	1.3077163e-11
130	Androgen	CREBZF	-1.8409792	1.71054e-11
131	Androgen	INPP4B	4.804519	1.7349115e-11
132	Androgen	MAN1A1	-6.214564	1.8846348e-11
133	Androgen	RARB	2.7037332	2.4173117e-11
134	Androgen	SLC43A1	4.035577	2.6367596e-11
135	Androgen	PPFIBP2	2.9443617	2.8668562e-11
136	Androgen	ST6GALNAC5	-2.3987193	3.083813e-11
137	Androgen	PCTP	3.4109511	3.1463727e-11
138	Androgen	PITX1	-2.6804025	3.208198e-11
139	Androgen	IRS2	6.853663	3.6871374e-11
140	Androgen	MYRIP	-3.0154507	4.1478765e-11
141	Androgen	FECH	2.5699794	5.094838e-11
142	Androgen	SOCS2	4.6614933	6.48113e-11
143	Androgen	MYCBP2	2.5376332	6.530272e-11
144	Androgen	SLC35F2	4.5373507	6.7532584e-11
145	Androgen	MAPRE2	-1.9248115	6.9242265e-11
146	Androgen	TULP4	-3.1907995	8.634125e-11
147	Androgen	ATP1A1	2.7792637	8.6498635e-11
148	Androgen	SEC24D	2.9580724	8.9442655e-11
149	Androgen	PTPN21	2.0626051	8.9873824e-11
150	Androgen	KCND2	2.7690914	9.170716e-11
151	Androgen	TRPS1	-3.761351	9.529266e-11
152	Androgen	FICD	3.2175245	1.2187633e-10
153	Androgen	ZNF613	1.7407224	1.4234458e-10
